"TIME_PERIOD","CIVIC_CENTRE","PLACE_OF_DEATH","DEATH_LICENSES"
"2013-01","NY","Outside City Limits",117
"2013-01","NY","Toronto",418
"2013-01","SC","Outside City Limits",78
"2013-01","SC","Toronto",582
"2013-02","ET","Outside City Limits",103
"2013-02","ET","Toronto",434
"2013-02","NY","Outside City Limits",54
"2013-02","NY","Toronto",243
"2013-02","SC","Outside City Limits",59
"2013-02","SC","Toronto",420
"2013-03","ET","Outside City Limits",94
"2013-03","ET","Toronto",312
"2013-03","NY","Outside City Limits",80
"2013-03","NY","Toronto",234
"2013-03","SC","Outside City Limits",95
"2013-03","SC","Toronto",416
"2013-04","ET","Outside City Limits",163
"2013-04","ET","Toronto",669
"2013-04","NY","Outside City Limits",47
"2013-04","NY","Toronto",226
"2013-04","SC","Outside City Limits",76
"2013-04","SC","Toronto",501
"2013-05","ET","Outside City Limits",82
"2013-05","ET","Toronto",435
"2013-05","NY","Outside City Limits",81
"2013-05","NY","Toronto",276
"2013-05","SC","Outside City Limits",86
"2013-05","SC","Toronto",432
"2013-06","ET","Outside City Limits",93
"2013-06","ET","Toronto",506
"2013-06","NY","Outside City Limits",66
"2013-06","NY","Toronto",236
"2013-06","SC","Outside City Limits",54
"2013-06","SC","Toronto",255
"2013-07","ET","Outside City Limits",193
"2013-07","ET","Toronto",732
"2013-07","NY","Outside City Limits",55
"2013-07","NY","Toronto",276
"2013-07","SC","Outside City Limits",58
"2013-07","SC","Toronto",346
"2013-08","ET","Outside City Limits",116
"2013-08","ET","Toronto",379
"2013-08","NY","Outside City Limits",83
"2013-08","NY","Toronto",290
"2013-08","SC","Outside City Limits",33
"2013-08","SC","Toronto",217
"2013-09","ET","Outside City Limits",150
"2013-09","ET","Toronto",449
"2013-09","NY","Outside City Limits",109
"2013-09","NY","Toronto",487
"2013-09","SC","Outside City Limits",83
"2013-09","SC","Toronto",338
"2013-10","ET","Outside City Limits",111
"2013-10","ET","Toronto",414
"2013-10","NY","Outside City Limits",98
"2013-10","NY","Toronto",390
"2013-10","SC","Outside City Limits",82
"2013-10","SC","Toronto",433
"2013-11","ET","Outside City Limits",99
"2013-11","ET","Toronto",338
"2013-11","NY","Outside City Limits",60
"2013-11","NY","Toronto",277
"2013-11","SC","Outside City Limits",86
"2013-11","SC","Toronto",398
"2013-12","ET","Outside City Limits",66
"2013-12","ET","Toronto",432
"2013-12","NY","Outside City Limits",95
"2013-12","NY","Toronto",331
"2013-12","SC","Outside City Limits",81
"2013-12","SC","Toronto",318
"2014-01","ET","Outside City Limits",215
"2014-01","ET","Toronto",569
"2014-01","NY","Outside City Limits",149
"2014-01","NY","Toronto",503
"2014-01","SC","Outside City Limits",104
"2014-01","SC","Toronto",555
"2014-02","ET","Outside City Limits",136
"2014-02","ET","Toronto",379
"2014-02","NY","Outside City Limits",93
"2014-02","NY","Toronto",381
"2014-02","SC","Outside City Limits",66
"2014-02","SC","Toronto",335
"2014-03","ET","Outside City Limits",112
"2014-03","ET","Toronto",394
"2014-03","NY","Outside City Limits",158
"2014-03","NY","Toronto",618
"2014-03","SC","Outside City Limits",90
"2014-03","SC","Toronto",410
"2014-04","ET","Outside City Limits",112
"2014-04","ET","Toronto",352
"2014-04","NY","Outside City Limits",115
"2014-04","NY","Toronto",518
"2014-04","SC","Outside City Limits",59
"2014-04","SC","Toronto",402
"2014-05","ET","Outside City Limits",78
"2014-05","ET","Toronto",330
"2014-05","NY","Outside City Limits",63
"2014-05","NY","Toronto",296
"2014-05","SC","Outside City Limits",108
"2014-05","SC","Toronto",398
"2014-06","ET","Outside City Limits",95
"2014-06","ET","Toronto",371
"2014-06","NY","Outside City Limits",99
"2014-06","NY","Toronto",404
"2014-06","SC","Outside City Limits",63
"2014-06","SC","Toronto",390
"2014-07","ET","Outside City Limits",116
"2014-07","ET","Toronto",393
"2014-07","NY","Outside City Limits",119
"2014-07","NY","Toronto",454
"2014-07","SC","Outside City Limits",44
"2014-07","SC","Toronto",258
"2014-08","ET","Outside City Limits",80
"2014-08","ET","Toronto",301
"2014-08","NY","Outside City Limits",103
"2014-08","NY","Toronto",277
"2014-08","SC","Outside City Limits",120
"2014-08","SC","Toronto",518
"2014-09","ET","Outside City Limits",105
"2014-09","ET","Toronto",274
"2014-09","NY","Outside City Limits",94
"2014-09","NY","Toronto",391
"2014-09","SC","Outside City Limits",96
"2014-09","SC","Toronto",427
"2014-10","ET","Outside City Limits",92
"2014-10","ET","Toronto",297
"2014-10","NY","Outside City Limits",59
"2014-10","NY","Toronto",454
"2014-10","SC","Outside City Limits",81
"2014-10","SC","Toronto",459
"2014-11","ET","Outside City Limits",138
"2014-11","ET","Toronto",467
"2014-11","NY","Outside City Limits",93
"2014-11","NY","Toronto",267
"2014-11","SC","Outside City Limits",71
"2014-11","SC","Toronto",432
"2014-12","ET","Outside City Limits",111
"2014-12","ET","Toronto",308
"2014-12","NY","Outside City Limits",73
"2014-12","NY","Toronto",441
"2014-12","SC","Outside City Limits",85
"2014-12","SC","Toronto",482
"2015-01","ET","Outside City Limits",158
"2015-01","ET","Toronto",487
"2015-01","NY","Outside City Limits",119
"2015-01","NY","Toronto",422
"2015-01","SC","Outside City Limits",94
"2015-01","SC","Toronto",580
"2015-02","ET","Outside City Limits",132
"2015-02","ET","Toronto",543
"2015-02","NY","Outside City Limits",93
"2015-02","NY","Toronto",210
"2015-02","SC","Outside City Limits",107
"2015-02","SC","Toronto",500
"2015-03","ET","Outside City Limits",139
"2015-03","ET","Toronto",584
"2015-03","NY","Outside City Limits",65
"2015-03","NY","Toronto",347
"2015-03","SC","Outside City Limits",63
"2015-03","SC","Toronto",367
"2015-04","ET","Outside City Limits",113
"2015-04","ET","Toronto",399
"2015-04","NY","Outside City Limits",126
"2015-04","NY","Toronto",345
"2015-04","SC","Outside City Limits",60
"2015-04","SC","Toronto",436
"2015-05","ET","Outside City Limits",64
"2015-05","ET","Toronto",273
"2015-05","NY","Outside City Limits",94
"2015-05","NY","Toronto",422
"2015-05","SC","Outside City Limits",49
"2015-05","SC","Toronto",364
"2015-06","ET","Outside City Limits",124
"2015-06","ET","Toronto",319
"2015-06","NY","Outside City Limits",54
"2015-06","NY","Toronto",363
"2015-06","SC","Outside City Limits",93
"2015-06","SC","Toronto",450
"2015-07","ET","Outside City Limits",93
"2015-07","ET","Toronto",374
"2015-07","NY","Outside City Limits",76
"2015-07","NY","Toronto",369
"2015-07","SC","Outside City Limits",94
"2015-07","SC","Toronto",466
"2015-08","ET","Outside City Limits",81
"2015-08","ET","Toronto",334
"2015-08","NY","Outside City Limits",111
"2015-08","NY","Toronto",484
"2015-08","SC","Outside City Limits",97
"2015-08","SC","Toronto",416
"2015-09","ET","Outside City Limits",75
"2015-09","ET","Toronto",310
"2015-09","NY","Outside City Limits",87
"2015-09","NY","Toronto",333
"2015-09","SC","Outside City Limits",86
"2015-09","SC","Toronto",432
"2015-10","ET","Outside City Limits",158
"2015-10","ET","Toronto",401
"2015-10","NY","Outside City Limits",79
"2015-10","NY","Toronto",301
"2015-10","SC","Outside City Limits",83
"2015-10","SC","Toronto",372
"2015-11","ET","Outside City Limits",116
"2015-11","ET","Toronto",460
"2015-11","NY","Outside City Limits",70
"2015-11","NY","Toronto",372
"2015-11","SC","Outside City Limits",86
"2015-11","SC","Toronto",413
"2015-12","ET","Outside City Limits",68
"2015-12","ET","Toronto",333
"2015-12","NY","Outside City Limits",70
"2015-12","NY","Toronto",259
"2015-12","SC","Outside City Limits",98
"2015-12","SC","Toronto",459
"2016-01","ET","Outside City Limits",183
"2016-01","ET","Toronto",422
"2016-01","NY","Outside City Limits",90
"2016-01","NY","Toronto",396
"2016-01","SC","Outside City Limits",87
"2016-01","SC","Toronto",564
"2016-02","ET","Outside City Limits",95
"2016-02","ET","Toronto",387
"2016-02","NY","Outside City Limits",83
"2016-02","NY","Toronto",285
"2016-02","SC","Outside City Limits",99
"2016-02","SC","Toronto",471
"2016-03","ET","Outside City Limits",155
"2016-03","ET","Toronto",440
"2016-03","NY","Outside City Limits",95
"2016-03","NY","Toronto",311
"2016-03","SC","Outside City Limits",93
"2016-03","SC","Toronto",533
"2016-04","ET","Outside City Limits",104
"2016-04","ET","Toronto",414
"2016-04","NY","Outside City Limits",51
"2016-04","NY","Toronto",255
"2016-04","SC","Outside City Limits",107
"2016-04","SC","Toronto",539
"2016-05","ET","Outside City Limits",137
"2016-05","ET","Toronto",355
"2016-05","NY","Outside City Limits",106
"2016-05","NY","Toronto",329
"2016-05","SC","Outside City Limits",91
"2016-05","SC","Toronto",518
"2016-06","ET","Outside City Limits",134
"2016-06","ET","Toronto",387
"2016-06","NY","Outside City Limits",53
"2016-06","NY","Toronto",304
"2016-06","SC","Outside City Limits",48
"2016-06","SC","Toronto",421
"2016-07","ET","Outside City Limits",126
"2016-07","ET","Toronto",407
"2016-07","NY","Outside City Limits",10
"2016-07","NY","Toronto",250
"2016-07","SC","Outside City Limits",60
"2016-07","SC","Toronto",186
"2016-08","ET","Outside City Limits",155
"2016-08","ET","Toronto",312
"2016-08","NY","Outside City Limits",77
"2016-08","NY","Toronto",240
"2016-08","SC","Outside City Limits",85
"2016-08","SC","Toronto",696
"2016-09","ET","Outside City Limits",198
"2016-09","ET","Toronto",432
"2016-09","NY","Outside City Limits",78
"2016-09","NY","Toronto",321
"2016-09","SC","Outside City Limits",112
"2016-09","SC","Toronto",553
"2016-10","ET","Outside City Limits",108
"2016-10","ET","Toronto",427
"2016-10","NY","Outside City Limits",78
"2016-10","NY","Toronto",356
"2016-10","SC","Outside City Limits",93
"2016-10","SC","Toronto",478
"2016-11","ET","Outside City Limits",124
"2016-11","ET","Toronto",293
"2016-11","NY","Outside City Limits",90
"2016-11","NY","Toronto",308
"2016-11","SC","Outside City Limits",124
"2016-11","SC","Toronto",518
"2016-12","ET","Outside City Limits",98
"2016-12","ET","Toronto",338
"2016-12","NY","Outside City Limits",59
"2016-12","NY","Toronto",298
"2016-12","SC","Outside City Limits",69
"2016-12","SC","Toronto",401
"2017-01","ET","Outside City Limits",208
"2017-01","ET","Toronto",610
"2017-01","NY","Outside City Limits",121
"2017-01","NY","Toronto",382
"2017-01","SC","Outside City Limits",134
"2017-01","SC","Toronto",747
